ffb,fusion,layout,width,fx,n_read,n_frames,mask_source,z_front,z_window,V_grid,z_ref,V_frustum,mask_px,mask_holes,V_grid_pitch,grid_pitch_mm,ring_z_ref,V_grid_ring,V_grid_ring_pitch,V_grid_fill,V_plane,H,area,tarp_depth,tilt_deg,plane_rmse_mm,V_plane_ph,H_ph,area_ph,mask_px_ph,seconds
FFB19,notebook,combined,1280,647.7,102,102,depth,1.2970000505447388,0.27,0.008276699234962463,1.3860000371932983,0.00907005330847282,27603,0.0,0.008892919007898367,2.4194323375545213,1.5390000343322754,0.02464383476257324,0.027152870411293946,0.009115716734886169,0.030418186860292098,0.28296477563960576,0.15575857515498198,1.549895800857953,5.672040110459874,4.322761197584172,0.03480204328441333,0.29147673150925746,0.18867861295170557,32954,1.5
FFB19,nan_blur,combined,1280,647.7,102,102,depth,1.2955000400543213,0.27,0.008490775568008422,1.3880000114440918,0.009294138424520518,27581,0.0,0.009104302099049921,2.417116336424894,1.5390000343322754,0.024685317750453947,0.027129748039798916,0.009344713519096375,0.030362520967757548,0.2828248611805043,0.15567582708463537,1.5497622253974175,5.678736738506602,4.313730356641967,0.03463458767020769,0.29097732744011967,0.18849616184467488,32949,1.6
FFB31,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.2361750602722168,0.005231971440315246,1.5520000457763672,0.014621949982523592,7842,0.0,0.012708044696034938,3.5993056050946866,1.5570001602172852,0.005387503049373627,0.013109697935303677,0.014452444188594817,0.01447269419109479,0.24624082797095306,0.08035555381778785,1.5569437196648261,4.751039175814867,3.7452792274039357,0.02652221741360025,0.250140253457797,0.16220897937654535,12638,1.2
FFB31,nan_blur,split,848,432.1,120,120,depth,1.3040000200271606,0.27,0.007059436901569367,1.561000108718872,0.019845778017252954,11983,0.0,0.01747160639892887,3.6428741807797276,1.558000087738037,0.00693023488998413,0.017122767762993346,0.01998218627357483,0.018395314414852995,0.25054727399873306,0.10125729349456679,1.5553160409419737,4.929023048422106,4.285793829881768,0.028132459038018143,0.25602565975146807,0.16973630630024067,13376,1.1
FFB32,notebook,split,848,432.1,32,32,depth,1.3530000448226929,0.15340006351470947,0.0031429325704574584,1.4850000143051147,0.008570372926874096,7820,0.0,0.008049322874789877,3.486420578629607,1.5500000715255737,0.005161066239356994,0.013335908601122557,0.008537671628952026,0.014872058563858226,0.21195365352111334,0.1007309430471552,1.5587901293684119,3.4074903497414786,3.782572717849729,0.016724446330400548,0.20650068178249548,0.12308441188001816,9623,1.2
FFB32,nan_blur,split,848,432.1,120,120,depth,1.3420000076293945,0.15955007076263428,0.0020353710198402404,1.4520000219345093,0.005381566338877294,6353,0.0,0.005112481028411581,3.475195643026554,1.5480000972747803,0.004440279852867126,0.011275685024601245,0.0054250522050857545,0.012936415726849422,0.21453281691537643,0.08193409680393296,1.557903579370031,3.5024767263344874,3.9019069573277614,0.016832188988638794,0.20847112826803296,0.12268272962178753,9599,1.1
FFB33,notebook,split,848,432.1,32,32,depth,1.3260000944137573,0.2692500352859497,0.005889370485305786,1.5540000200271606,0.016515715660937083,8901,0.0,0.014370501058415235,3.692055549826674,1.5390000343322754,0.005426203113555908,0.013196427495534869,0.015335067678451537,0.015456345359737812,0.23626696034648376,0.09093037814139736,1.550153527399545,3.2602661401074022,3.6970361738902997,0.02297962455864429,0.23659207188586273,0.1476220563365959,11640,1.3
FFB33,nan_blur,split,848,432.1,120,120,depth,1.314000129699707,0.18599998950958252,0.0030156898660659787,1.4510000944137573,0.007794094570907925,6976,0.0,0.00722389830793295,3.471608409089946,1.5390000343322754,0.005428262199878692,0.013124488804508722,0.007725262261390686,0.015351000129984112,0.23792917700061522,0.08892721247827316,1.5497964375611177,3.1904909185881096,3.375108455851277,0.022428228507168312,0.23956412142373087,0.1420589347471099,11159,0.8
FFB34,notebook,split,848,432.1,32,32,depth,1.319000005722046,0.21672511100769043,0.004809051558494567,1.5230001211166382,0.013162051717862902,7448,0.0,0.011734287480938651,3.554290537056761,1.5500000715255737,0.0056063541536331175,0.013746149379885197,0.013445850678920745,0.0157770512614125,0.25223500496514867,0.09083941360763788,1.5640375013941403,4.878815504994144,3.9605817629646043,0.024606734997098947,0.2527363841821435,0.14875169207250277,11584,1.1
FFB34,nan_blur,split,848,432.1,120,120,depth,1.308000087738037,0.27,0.006081040292263031,1.5520000457763672,0.01704072838486004,9146,0.0,0.014988014955357273,3.652131959178657,1.5520000457763672,0.006081040292263031,0.014988014955357273,0.017213217684745787,0.016872368277325547,0.2514740138763515,0.09846191018698741,1.5635354110631594,5.09555960813034,3.827659490286325,0.024779578987451988,0.253954090339806,0.14890043986075524,11596,1.1
FFB35,notebook,split,848,432.1,32,32,depth,1.3330000638961792,0.26273131370544434,0.005680918890953064,1.5670000314712524,0.016256097205603448,8876,0.0,0.01418717055521385,3.6931693525802567,1.5560001134872437,0.0053260335397720335,0.013259282304605808,0.015119736634254454,0.014614929660326076,0.23646631558167575,0.08925783988894548,1.565147730671814,5.404616583868002,3.949640226737939,0.02343280281477796,0.24045216794152663,0.14991777930596784,11637,0.9
FFB35,nan_blur,split,848,432.1,120,120,depth,1.3250000476837158,0.26866257190704346,0.004320448881149292,1.571000099182129,0.012402577165612466,7037,0.0,0.010535422261860166,3.6883814078228427,1.5560001134872437,0.003941285158634186,0.009550876453429029,0.01133616840839386,0.010920496538040817,0.23670587747350944,0.06601877384973201,1.5645834888410617,5.446881107028261,4.042814733418459,0.023421009767204813,0.24111325706318537,0.14981941876851804,11625,1.1
